Region,GOVERNORATE,CODE GOUV,DELEGATION,CODE DELEG,SECTOR,CODE SECTOR,Block,CODE BLOCK,Area,pop_block,Lodging,Cumulative population
Grand Tunis,Tunis,11,El Omrane Supérieur,1156,CITÉ EL INTILAKA,115655,Cité El Intilaka 22,11565522,Urban,400.185185185185,131.851851851852,182509.740740741
Grand Tunis,Tunis,11,El Omrane Supérieur,1156,CITÉ EL INTILAKA,115655,Cité El Intilaka 25,11565525,Urban,400.185185185185,131.851851851852,183710.296296296
Grand Tunis,Tunis,11,El Omrane Supérieur,1156,CITÉ EL INTILAKA,115655,Cité El Intilaka 26,11565526,Urban,400.185185185185,131.851851851852,184110.481481482
Grand Tunis,Tunis,11,El Omrane Supérieur,1156,EL OMRANE SUPÉRIEUR,115656,El Omrane Supérieur 2,1156562,Urban,402.3125,123.75,185315.291666667
Grand Tunis,Tunis,11,El Omrane Supérieur,1156,EL OMRANE SUPÉRIEUR,115656,El Omrane Supérieur 14,11565614,Urban,402.3125,123.75,190143.041666667
Grand Tunis,Tunis,11,El Omrane Supérieur,1156,EL NASSIM,115657,El Nassim 3,1156573,Urban,393.705882352941,130.058823529412,192128.784313726
Grand Tunis,Tunis,11,El Omrane Supérieur,1156,EL NASSIM,115657,El Nassim 5,1156575,Urban,393.705882352941,130.058823529412,192916.196078432
Grand Tunis,Tunis,11,El Omrane Supérieur,1156,EL NASSIM,115657,El Nassim 6,1156576,Urban,393.705882352941,130.058823529412,193309.901960785
Grand Tunis,Tunis,11,El Omrane Supérieur,1156,EL NASSIM,115657,El Nassim 7,1156577,Urban,393.705882352941,130.058823529412,193703.607843137
Grand Tunis,Tunis,11,El Omrane Supérieur,1156,EL NASSIM,115657,El Nassim 10,11565710,Urban,393.705882352941,130.058823529412,194884.725490196
Grand Tunis,Tunis,11,El Omrane Supérieur,1156,EL NASSIM,115657,El Nassim 11,11565711,Urban,393.705882352941,130.058823529412,195278.431372549
Grand Tunis,Tunis,11,El Omrane Supérieur,1156,EL NASSIM,115657,El Nassim 12,11565712,Urban,393.705882352941,130.058823529412,195672.137254902
Grand Tunis,Tunis,11,El Omrane Supérieur,1156,EL NASSIM,115657,El Nassim 17,11565717,Urban,393.705882352941,130.058823529412,197640.666666667
Grand Tunis,Tunis,11,El Omrane Supérieur,1156,AHMED TLILI,115658,Ahmed Tlili 1,1156581,Urban,396.615384615385,135.461538461538,198037.282051282
Grand Tunis,Tunis,11,El Omrane Supérieur,1156,AHMED TLILI,115658,Ahmed Tlili 3,1156583,Urban,396.615384615385,135.461538461538,198830.512820513
Grand Tunis,Tunis,11,El Omrane Supérieur,1156,AHMED TLILI,115658,Ahmed Tlili 7,1156587,Urban,396.615384615385,135.461538461538,200416.974358975
Grand Tunis,Tunis,11,El Omrane Supérieur,1156,AHMED TLILI,115658,Ahmed Tlili 10,11565810,Urban,396.615384615385,135.461538461538,201606.820512821
Grand Tunis,Tunis,11,El Omrane Supérieur,1156,AHMED TLILI,115658,Ahmed Tlili 11,11565811,Urban,396.615384615385,135.461538461538,202003.435897436
Grand Tunis,Tunis,11,El Omrane Supérieur,1156,AHMED TLILI,115658,Ahmed Tlili 13,11565813,Urban,396.615384615385,135.461538461538,202796.666666667
Grand Tunis,Tunis,11,El Omrane Supérieur,1156,ES-SADIQUE,115659,Es-Sadique 1,1156591,Urban,395.666666666667,111.733333333333,203192.333333334
Grand Tunis,Tunis,11,El Omrane Supérieur,1156,ES-SADIQUE,115659,Es-Sadique 2,1156592,Urban,395.666666666667,111.733333333333,203588
Grand Tunis,Tunis,11,El Omrane Supérieur,1156,ES-SADIQUE,115659,Es-Sadique 11,11565911,Urban,395.666666666667,111.733333333333,207149
